premis_cd
116
753
970
951
732
758
874
406
877
911
946
734
605
971
509
967
870
910
236
941
919
957
156
949
836
135
417
932
711
707
961
879
227
940
149
733
505
103
502
875
876
239
117
121
113
125
240
717
755
120
802
703
210
710
244
728
602
954
506
508
721
242
251
204
705
913
104
604
803
305
743
303
201
974
105
402
804
107
963
233
220
889
920
219
241
252
723
253
231
512
109
873
884
155
722
953
416
724
414
246
128
735
714
243
906
909
745
902
142
872
410
740
152
603
892
230
301
896
222
757
254
503
952
730
922
217
250
709
890
501
750
727
810
962
106
517
110
931
145
129
143
811
203
809
228
718
934
908
708
229
713
304
146
607
701
511
738
514
900
405
943
712
513
237
916
751
101
878
115
942
114
504
415
238
112
108
976
729
408
754
518
737
127
124
744
715
401
964
235
601
119
739
147
507
944
214
202
903
905
716
741
897
736
412
973
950
945
948
510
232
519
965
302
409
725
936
212
907
404
921
746
720
917
249
255
834
515
151
209
937
894
225
138
868
0
418
245
205
947
972
706
407
895
904
516
216
956
958
882
213
891
144
918
801
223
975
221
752
102
158
118
608
915
111
968
207
702
123
126
893
871
883
805
726
206
224
704
157
719
756
413
606
247
933
880
136
150
139
140
137
248
208
411
869
966
835
141
122
218
154
234
211
731
403
901
935
256
748
885
969
215
742
912
148
898
