weapon_used_cd
209
116
305
0
304
205
303
201
511
105
516
216
514
213
107
220
400
513
309
101
223
219
221
509
115
114
504
102
312
108
112
109
512
118
300
111
124
207
123
500
311
200
505
103
502
117
121
119
125
206
113
306
507
214
202
301
308
120
210
503
208
510
217
122
302
218
211
506
508
501
310
212
204
104
106
110
215
307
203
515
