crime_code
520
110
653
931
846
486
435
625
485
623
351
814
668
753
850
652
926
951
930
350
438
341
431
450
433
900
670
946
996
943
762
330
345
237
473
436
451
660
320
870
942
910
437
236
626
976
949
998
932
475
999
470
452
888
830
940
522
821
235
121
420
113
763
627
990
944
860
480
845
755
903
664
815
210
440
349
950
945
948
812
510
840
622
521
954
310
331
251
921
353
997
806
813
347
820
624
978
972
761
904
980
666
956
443
444
882
446
445
220
822
471
920
352
343
430
231
661
884
662
487
979
441
993
906
902
745
805
924
410
740
439
756
230
651
649
933
880
647
442
354
421
453
922
994
760
122
432
250
648
434
474
890
886
901
865
654
810
928
