report_dist_nos
1798
1489
1269
1989
1587
1091
839
1075
758
1128
1691
2128
2196
1136
946
176
1494
1831
1003
292
1045
1331
663
929
1307
271
1589
1558
1493
417
2125
2038
764
1373
1175
529
638
1268
775
1963
1018
1263
161
2025
1682
2172
1431
1372
1595
632
802
815
1415
1004
2054
1313
644
824
1749
508
357
1143
1705
769
1782
1463
266
1829
315
1162
307
841
1841
1614
1239
803
305
1606
181
743
1484
1984
1755
2063
963
1602
1913
2147
822
823
2015
1118
241
1025
1007
285
1266
1776
391
487
699
1936
1975
1718
1603
246
128
1664
1942
2183
714
906
909
1321
745
1078
152
1522
428
1049
1685
1967
355
637
1403
747
1006
1324
1008
777
164
1098
1325
922
453
787
2099
2035
1548
501
2198
2159
1679
1952
182
528
143
1959
811
1549
563
1907
1762
1474
667
1613
814
668
1779
926
645
1009
438
1804
853
378
2073
1546
483
1708
1619
1836
1788
1523
646
1259
1044
379
942
1458
1823
589
1862
1535
127
555
1583
329
567
1144
2157
1924
816
1585
1646
1987
676
153
1022
778
507
944
847
1753
551
532
945
948
1371
1951
1434
519
1203
1915
409
1966
521
936
981
921
2149
249
1126
1678
984
639
937
1249
138
418
1774
1747
1524
1411
407
1681
1956
904
443
2005
526
1477
1209
1428
393
524
312
1151
1837
1569
1185
469
118
317
1265
1793
702
1986
488
1048
1101
1995
463
883
629
2156
2093
726
374
1146
1544
1215
224
719
756
318
1665
1476
933
2105
1727
354
647
442
1792
479
2143
1354
154
1257
1283
234
657
1503
1645
899
1961
935
1666
696
969
1179
1253
1700
898
2049
1713
351
1145
1791
1974
732
1977
837
826
2114
491
462
911
734
855
1767
1615
2053
1563
1248
1567
1219
1827
2126
626
836
1844
784
711
1565
768
1036
838
2034
1668
478
505
461
328
717
525
1467
1046
2155
1771
226
843
1161
1016
1911
1684
1015
1661
1944
2129
1218
1639
800
1495
204
1021
1077
456
1608
2145
531
807
1409
1427
361
1173
1658
1622
303
1508
974
829
1557
785
643
1406
2074
1849
233
1149
1115
